Date,Time,State,Group,Unit,Sales
1-Oct-2020, Morning, WA, Kids, 8, 20000
1-Oct-2020, Morning, WA, Men, 8, 20000
1-Oct-2020, Morning, WA, Women, 4, 10000
1-Oct-2020, Morning, WA, Seniors, 15, 37500
1-Oct-2020, Afternoon, WA, Kids, 3, 7500
1-Oct-2020, Afternoon, WA, Men, 10, 25000
1-Oct-2020, Afternoon, WA, Women, 3, 7500
1-Oct-2020, Afternoon, WA, Seniors, 11, 27500
1-Oct-2020, Evening, WA, Kids, 15, 37500
1-Oct-2020, Evening, WA, Men, 15, 37500
1-Oct-2020, Evening, WA, Women, 3, 7500
1-Oct-2020, Evening, WA, Seniors, 10, 25000
1-Oct-2020, Morning, NT, Kids, 13, 32500
1-Oct-2020, Morning, NT, Men, 5, 12500
1-Oct-2020, Morning, NT, Women, 4, 10000
1-Oct-2020, Morning, NT, Seniors, 10, 25000
1-Oct-2020, Afternoon, NT, Kids, 13, 32500
1-Oct-2020, Afternoon, NT, Men, 4, 10000
1-Oct-2020, Afternoon, NT, Women, 6, 15000
1-Oct-2020, Afternoon, NT, Seniors, 5, 12500
1-Oct-2020, Evening, NT, Kids, 13, 32500
1-Oct-2020, Evening, NT, Men, 8, 20000
1-Oct-2020, Evening, NT, Women, 9, 22500
1-Oct-2020, Evening, NT, Seniors, 14, 35000
1-Oct-2020, Morning, SA, Kids, 12, 30000
1-Oct-2020, Morning, SA, Men, 12, 30000
1-Oct-2020, Morning, SA, Women, 16, 40000
1-Oct-2020, Morning, SA, Seniors, 28, 70000
1-Oct-2020, Afternoon, SA, Kids, 16, 40000
1-Oct-2020, Afternoon, SA, Men, 28, 70000
1-Oct-2020, Afternoon, SA, Women, 21, 52500
1-Oct-2020, Afternoon, SA, Seniors, 29, 72500
1-Oct-2020, Evening, SA, Kids, 15, 37500
1-Oct-2020, Evening, SA, Men, 22, 55000
1-Oct-2020, Evening, SA, Women, 32, 80000
1-Oct-2020, Evening, SA, Seniors, 21, 52500
1-Oct-2020, Morning, VIC, Kids, 49, 122500
1-Oct-2020, Morning, VIC, Men, 36, 90000
1-Oct-2020, Morning, VIC, Women, 34, 85000
1-Oct-2020, Morning, VIC, Seniors, 26, 65000
1-Oct-2020, Afternoon, VIC, Kids, 31, 77500
1-Oct-2020, Afternoon, VIC, Men, 26, 65000
